datetime,temperature
8/27/19 3:32,23.4
8/27/19 3:42,22.7
8/27/19 3:52,22.2
8/27/19 4:02,21.8
8/27/19 4:12,21.5
8/27/19 4:22,20.8
8/27/19 4:32,20.5
8/27/19 4:42,20.6
8/27/19 4:52,20.8
8/27/19 5:02,20.9
8/27/19 5:12,20.5
8/27/19 5:22,20.5
8/27/19 5:32,20.1
8/27/19 5:42,19.6
8/27/19 5:52,18.9
8/27/19 6:02,18.3
8/27/19 6:12,18.1
8/27/19 6:22,18.2
8/27/19 6:32,17.9
8/27/19 6:42,17.8
8/27/19 6:52,17.4
8/27/19 7:02,17.2
8/27/19 7:12,17.1
8/27/19 7:22,16.9
8/27/19 7:32,16.8
8/27/19 7:42,16.6
8/27/19 7:52,16.4
8/27/19 8:02,16.3
8/27/19 8:12,16.1
8/27/19 8:22,15.8
8/27/19 8:32,15.9
8/27/19 8:42,15.7
8/27/19 8:52,15.7
8/27/19 9:02,15.5
8/27/19 9:12,15.5
8/27/19 9:22,15.1
8/27/19 9:32,15
8/27/19 9:42,14.5
8/27/19 9:52,14.5
8/27/19 10:02,14.3
8/27/19 10:12,14.4
8/27/19 10:22,14.1
8/27/19 10:32,13.9
8/27/19 10:42,13.6
8/27/19 10:52,13.3
8/27/19 11:02,13.2
8/27/19 11:12,12.9
8/27/19 11:22,12.5
8/27/19 11:32,12.4
8/27/19 11:42,12.1
8/27/19 11:52,12.3
8/27/19 12:02,12.8
8/27/19 12:12,13.3
8/27/19 12:22,13.6
8/27/19 12:32,13.3
8/27/19 12:42,13.8
8/27/19 12:52,13.6
8/27/19 13:02,13.3
8/27/19 13:12,13.1
8/27/19 13:22,13
8/27/19 13:32,13
8/27/19 13:42,13
8/27/19 13:52,13.3
8/27/19 14:02,13.7
8/27/19 14:12,14.2
8/27/19 14:22,15.2
8/27/19 14:32,16.4
8/27/19 14:42,17.7
8/27/19 14:52,19
8/27/19 15:02,20.2
8/27/19 15:12,21.3
8/27/19 15:22,22.3
8/27/19 15:32,23.3
8/27/19 15:42,24.2
8/27/19 15:52,25
8/27/19 16:02,26
8/27/19 16:12,26.9
8/27/19 16:22,26.5
8/27/19 16:32,25.1
8/27/19 16:42,25.6
8/27/19 16:52,25.1
8/27/19 17:02,25.1
8/27/19 17:12,24.2
8/27/19 17:22,24.3
8/27/19 17:32,24.4
8/27/19 17:42,24.6
8/27/19 17:52,26.8
8/27/19 18:02,28.2
8/27/19 18:12,26.9
8/27/19 18:22,26.8
8/27/19 18:32,28.7
8/27/19 18:42,28.2
8/27/19 18:52,28
8/27/19 19:02,28.3
8/27/19 19:12,28.7
8/27/19 19:22,29.2
8/27/19 19:32,29.2
8/27/19 19:42,29.3
8/27/19 19:52,29.8
8/27/19 20:02,30.2
8/27/19 20:12,31.5
8/27/19 20:22,32.1
8/27/19 20:32,32.6
8/27/19 20:42,32.9
8/27/19 20:52,33.5
8/27/19 21:02,34
8/27/19 21:12,34.2
8/27/19 21:22,33.6
8/27/19 21:32,33.4
8/27/19 21:42,33.3
8/27/19 21:52,33.2
8/27/19 22:02,33.5
8/27/19 22:12,33.7
8/27/19 22:22,34
8/27/19 22:32,34.3
