datetime,temperature
08/27/2019 03:32:45,23.4
08/27/2019 03:42:45,22.7
08/27/2019 03:52:45,22.2
08/27/2019 04:02:45,21.8
08/27/2019 04:12:45,21.5
08/27/2019 04:22:45,20.8
08/27/2019 04:32:45,20.5
08/27/2019 04:42:45,20.6
08/27/2019 04:52:45,20.8
08/27/2019 05:02:45,20.9
08/27/2019 05:12:45,20.5
08/27/2019 05:22:45,20.5
08/27/2019 05:32:45,20.1
08/27/2019 05:42:45,19.6
08/27/2019 05:52:45,18.9
08/27/2019 06:02:45,18.3
08/27/2019 06:12:45,18.1
08/27/2019 06:22:45,18.2
08/27/2019 06:32:45,17.9
08/27/2019 06:42:45,17.8
08/27/2019 06:52:45,17.4
08/27/2019 07:02:45,17.2
08/27/2019 07:12:45,17.1
08/27/2019 07:22:45,16.9
08/27/2019 07:32:45,16.8
08/27/2019 07:42:45,16.6
08/27/2019 07:52:45,16.4
08/27/2019 08:02:45,16.3
08/27/2019 08:12:45,16.1
08/27/2019 08:22:45,15.8
08/27/2019 08:32:45,15.9
08/27/2019 08:42:45,15.7
08/27/2019 08:52:45,15.7
08/27/2019 09:02:45,15.5
08/27/2019 09:12:45,15.5
08/27/2019 09:22:45,15.1
08/27/2019 09:32:45,15.0
08/27/2019 09:42:45,14.5
08/27/2019 09:52:45,14.5
08/27/2019 10:02:45,14.3
08/27/2019 10:12:45,14.4
08/27/2019 10:22:45,14.1
08/27/2019 10:32:45,13.9
08/27/2019 10:42:45,13.6
08/27/2019 10:52:45,13.3
08/27/2019 11:02:45,13.2
08/27/2019 11:12:45,12.9
08/27/2019 11:22:45,12.5
08/27/2019 11:32:45,12.4
08/27/2019 11:42:45,12.1
08/27/2019 11:52:45,12.3
08/27/2019 12:02:45,12.8
08/27/2019 12:12:45,13.3
08/27/2019 12:22:45,13.6
08/27/2019 12:32:45,13.3
08/27/2019 12:42:45,13.8
08/27/2019 12:52:45,13.6
08/27/2019 13:02:45,13.3
08/27/2019 13:12:45,13.1
08/27/2019 13:22:45,13.0
08/27/2019 13:32:45,13.0
08/27/2019 13:42:45,13.0
08/27/2019 13:52:45,13.3
08/27/2019 14:02:45,13.7
08/27/2019 14:12:45,14.2
08/27/2019 14:22:45,15.2
08/27/2019 14:32:45,16.4
08/27/2019 14:42:45,17.7
08/27/2019 14:52:45,19.0
08/27/2019 15:02:45,20.2
08/27/2019 15:12:45,21.3
08/27/2019 15:22:45,22.3
08/27/2019 15:32:45,23.3
08/27/2019 15:42:45,24.2
08/27/2019 15:52:45,25.0
08/27/2019 16:02:45,26.0
08/27/2019 16:12:45,26.9
08/27/2019 16:22:45,26.5
08/27/2019 16:32:45,25.1
08/27/2019 16:42:45,25.6
08/27/2019 16:52:45,25.1
08/27/2019 17:02:45,25.1
08/27/2019 17:12:45,24.2
08/27/2019 17:22:45,24.3
08/27/2019 17:32:45,24.4
08/27/2019 17:42:45,24.6
08/27/2019 17:52:45,26.8
08/27/2019 18:02:45,28.2
08/27/2019 18:12:45,26.9
08/27/2019 18:22:45,26.8
08/27/2019 18:32:45,28.7
08/27/2019 18:42:45,28.2
08/27/2019 18:52:45,28.0
08/27/2019 19:02:45,28.3
08/27/2019 19:12:45,28.7
08/27/2019 19:22:45,29.2
08/27/2019 19:32:45,29.2
08/27/2019 19:42:45,29.3
08/27/2019 19:52:45,29.8
08/27/2019 20:02:45,30.2
08/27/2019 20:12:45,31.5
08/27/2019 20:22:45,32.1
08/27/2019 20:32:45,32.6
08/27/2019 20:42:45,32.9
08/27/2019 20:52:45,33.5
08/27/2019 21:02:45,34.0
08/27/2019 21:12:45,34.2
08/27/2019 21:22:45,33.6
08/27/2019 21:32:45,33.4
08/27/2019 21:42:45,33.3
08/27/2019 21:52:45,33.2
08/27/2019 22:02:45,33.5
08/27/2019 22:12:45,33.7
08/27/2019 22:22:45,34.0
08/27/2019 22:32:45,34.3
08/27/2019 22:42:45,34.0
08/27/2019 22:52:45,33.8
08/27/2019 23:02:45,33.6
08/27/2019 23:12:45,33.5
08/27/2019 23:22:45,33.4
08/27/2019 23:32:45,33.2
08/27/2019 23:42:45,32.8
08/27/2019 23:52:45,32.7
08/28/2019 00:02:45,32.4
08/28/2019 00:12:45,32.0
08/28/2019 00:22:45,31.4
08/28/2019 00:32:45,31.1
08/28/2019 00:42:45,31.6
08/28/2019 00:52:45,31.6
08/28/2019 01:02:45,31.2
08/28/2019 01:12:45,30.3
08/28/2019 01:22:45,29.7
08/28/2019 01:32:45,29.5
08/28/2019 01:42:45,28.8
08/28/2019 01:52:45,28.2
08/28/2019 02:02:45,27.9
08/28/2019 02:12:45,27.6
08/28/2019 02:22:45,26.3
08/28/2019 02:32:45,26.2
08/28/2019 02:42:45,26.2
08/28/2019 02:52:45,25.6
08/28/2019 03:02:45,24.8
08/28/2019 03:12:45,24.4
08/28/2019 03:22:45,23.7
08/28/2019 03:32:45,23.0
08/28/2019 03:42:45,22.3
08/28/2019 03:52:45,22.1
08/28/2019 04:02:45,21.7
08/28/2019 04:12:45,21.5
08/28/2019 04:22:45,21.4
08/28/2019 04:32:45,21.2
08/28/2019 04:42:45,21.2
08/28/2019 04:52:45,20.9
08/28/2019 05:02:45,20.6
08/28/2019 05:12:45,20.0
08/28/2019 05:22:45,19.7
08/28/2019 05:32:45,19.8
08/28/2019 05:42:45,19.5
08/28/2019 05:52:45,19.2
08/28/2019 06:02:45,19.3
08/28/2019 06:12:45,19.9
08/28/2019 06:22:45,20.3
08/28/2019 06:32:45,19.6
08/28/2019 06:42:45,19.5
08/28/2019 06:52:45,19.6
08/28/2019 07:02:45,19.2
08/28/2019 07:12:45,19.2
08/28/2019 07:22:45,18.5
08/28/2019 07:32:45,17.8
08/28/2019 07:42:45,17.3
08/28/2019 07:52:45,16.8
08/28/2019 08:02:45,16.4
08/28/2019 08:12:45,16.0
08/28/2019 08:22:45,15.8
08/28/2019 08:32:45,15.6
08/28/2019 08:42:45,15.6
08/28/2019 08:52:45,15.3
08/28/2019 09:02:45,15.0
08/28/2019 09:12:45,15.0
08/28/2019 09:22:45,15.1
08/28/2019 09:32:45,15.0
08/28/2019 09:42:45,14.8
08/28/2019 09:52:45,14.7
08/28/2019 10:02:45,14.6
08/28/2019 10:12:45,14.4
08/28/2019 10:22:45,14.3
08/28/2019 10:32:45,14.2
08/28/2019 10:42:45,14.2
08/28/2019 10:52:45,14.2
08/28/2019 11:02:45,14.0
