datetime,temperature
8/25/19 18:29,33.1
8/25/19 18:31,33.1
8/25/19 18:33,33
8/25/19 18:35,32.8
8/25/19 18:37,32.7
8/25/19 18:39,32.6
8/25/19 18:41,32.6
8/25/19 18:43,32.5
8/25/19 18:45,32.4
8/25/19 18:47,32.4
8/25/19 18:49,32.3
8/25/19 18:51,32.3
8/25/19 18:53,32.2
8/25/19 18:55,32.1
8/25/19 18:57,32
8/25/19 18:59,32
8/25/19 19:01,31.9
8/25/19 19:03,31.8
8/25/19 19:05,31.7
8/25/19 19:07,31.7
8/25/19 19:09,31.6
8/25/19 19:11,31.5
8/25/19 19:13,31.5
8/25/19 19:15,31.4
8/25/19 19:17,31.3
8/25/19 19:19,31.2
8/25/19 19:21,31.1
8/25/19 19:23,31
8/25/19 19:25,31
8/25/19 19:27,30.9
8/25/19 19:29,30.9
8/25/19 19:31,30.8
8/25/19 19:33,30.7
8/25/19 19:35,30.6
8/25/19 19:37,30.5
8/25/19 19:39,30.5
8/25/19 19:41,30.4
8/25/19 19:43,30.3
8/25/19 19:45,30.2
8/25/19 19:47,30.1
8/25/19 19:49,30.1
8/25/19 19:51,30
8/25/19 19:53,29.9
8/25/19 19:55,29.8
8/25/19 19:57,29.8
8/25/19 19:59,29.8
8/25/19 20:01,29.7
8/25/19 20:03,29.7
8/25/19 20:05,29.6
8/25/19 20:07,29.5
8/25/19 20:09,29.5
8/25/19 20:11,29.4
8/25/19 20:13,29.4
8/25/19 20:15,29.3
8/25/19 20:17,29.2
8/25/19 20:19,29.2
8/25/19 20:21,29.1
8/25/19 20:23,29
8/25/19 20:25,28.9
8/25/19 20:27,28.9
8/25/19 20:29,28.8
8/25/19 20:31,28.7
8/25/19 20:33,28.7
8/25/19 20:35,28.6
8/25/19 20:37,28.5
8/25/19 20:39,28.4
8/25/19 20:41,28.3
8/25/19 20:43,28.2
8/25/19 20:45,28.1
8/25/19 20:47,28
8/25/19 20:49,28
8/25/19 20:51,27.9
8/25/19 20:53,27.9
8/25/19 20:55,27.8
8/25/19 20:57,27.7
8/25/19 20:59,27.7
8/25/19 21:01,27.6
8/25/19 21:03,27.5
8/25/19 21:05,27.5
8/25/19 21:07,27.4
8/25/19 21:09,27.4
8/25/19 21:11,27.4
8/25/19 21:13,27.3
8/25/19 21:15,27.3
8/25/19 21:17,27.2
8/25/19 21:19,27.2
8/25/19 21:21,27.2
8/25/19 21:23,27.2
8/25/19 21:25,27.2
8/25/19 21:27,27.1
